       sku       asin price quantity
 ertan-291 B08NVRRH18     0        0
 ertan-292 B07YTMTBZW     0        0
 ertan-293 B088TQ24LQ     0        0
 ertan-294 B08P5MHCY3     0        0
 ertan-295 B07FYTQTYS     0        0
 ertan-296 B08L866L74     0        0
 ertan-297 B08SQKXQRB     0        0
 ertan-298 B08H54FZSZ     0        0
 ertan-299 B098Q2PWWF     0        0
 ertan-300 B094QLZD26     0        0
 ertan-301 B08P783QTD     0        0
 ertan-302 B07QGX2FLX     0        0
 ertan-303 B00IN6VKRK     0        0
 ertan-304 B075QJG8MR     0        0
 ertan-305 B01FC7NDJ0     0        0
 ertan-306 B09MCKMXTM     0        0
 ertan-307 B091514M9J     0        0
 ertan-308 B08K9B9SXT     0        0
 ertan-309 B07H574CDG     0        0
 ertan-310 B088WPM3K1     0        0
 ertan-311 B08C2SKHDX     0        0
 ertan-312 B0777N5N4Z     0        0
 ertan-313 B0B2J81F4M     0        0
 ertan-314 B0864V6FCQ     0        0
 ertan-315 B01BSWPGGG     0        0
 ertan-316 B01103ONHG     0        0
 ertan-317 B08PKK8N7X     0        0
 ertan-318 B01DYONRPS     0        0
 ertan-319 B0865P2XTL     0        0
 ertan-320 B01LYQTV2J     0        0
 ertan-321 B00HIAQY8C     0        0
 ertan-322 B08L51K3PW     0        0
 ertan-323 B07S522T6G     0        0
 ertan-324 B09J919TP5     0        0
 ertan-325 B09M3MNB8Y     0        0
 ertan-326 B09QK5QMXR     0        0
 ertan-327 B07Z3RTY7J     0        0
 ertan-328 B01GVLMV8U     0        0
 ertan-329 B083TGFN1L     0        0
 ertan-330 B0928TRWF2     0        0
 ertan-331 B07VF3QGC2     0        0
 ertan-332 B07VDJ4SPV     0        0
 ertan-333 B09CYMHCCR     0        0
 ertan-334 B07XFCK5NZ     0        0
 ertan-335 B01JO452ZU     0        0
 ertan-336 B08CXCJRYP     0        0
 ertan-337 B07D3KZXYL     0        0
 ertan-338 B08TBXJGP8     0        0
 ertan-339 B08BL3QXMP     0        0
 ertan-340 B0046IGH9K     0        0
 ertan-341 B08962S5YD     0        0
 ertan-342 B08MKG68L1     0        0
 ertan-343 B08B58BLKR     0        0
 ertan-344 B079M4KQKJ     0        0
 ertan-345 B018FXGZ6Q     0        0
 ertan-346 B091C82LKQ     0        0
 ertan-347 B08MBN2N3S     0        0
 ertan-348 B07XBP3PRN     0        0
 ertan-349 B07W5XXNSW     0        0
 ertan-350 B085CFYR77     0        0
 ertan-351 B07MNDFDJK     0        0
 ertan-352 B083KKH3VT     0        0
 ertan-353 B07RLXBJMN     0        0
 ertan-354 B081VWFS2B     0        0
 ertan-355 B01B9YMU2Q     0        0
 ertan-356 B0892S8ZM2     0        0
 ertan-357 B08JV2DL5C     0        0
 ertan-358 B097D3438T     0        0
 ertan-359 B071NMVYC7     0        0
 ertan-360 B01KHEF0V2     0        0
 ertan-361 B0885TK1MR     0        0
 ertan-362 B08JTYDMD1     0        0
 ertan-363 B08K93YK8J     0        0
 ertan-364 B086KKWHKS     0        0
 ertan-365 B0B4C7P5S7     0        0
 ertan-366 B00LFTMKXK     0        0
 ertan-367 B07P1L9Y1N     0        0
 ertan-368 B074S5FRV3     0        0
 ertan-369 B09PHRR5HZ     0        0
 ertan-370 B0714PTNX9     0        0
 ertan-371 B08FCDC7BX     0        0
 ertan-372 B01LCKD5QW     0        0
 ertan-373 B08WRQ6CWM     0        0
 ertan-374 B005WZJOKA     0        0
 ertan-375 B08GWKVPDH     0        0
 ertan-376 B07Z5X3HMY     0        0
 ertan-377 B083VVM1DX     0        0
 ertan-378 B0747Q36B6     0        0
 ertan-379 B08NDDTWGM     0        0
 ertan-380 B0B3SH6GFL     0        0
 ertan-381 B09CDYN1PV     0        0
 ertan-382 B09LSGPHT3     0        0
 ertan-383 B08VMNZ3JR     0        0
 ertan-384 B00H6XY73A     0        0
 ertan-385 B00JBNCC44     0        0
 ertan-386 B08PNQHLTV     0        0
 ertan-387 B08CXSW31V     0        0
 ertan-388 B08T71HZB6     0        0
 ertan-389 B07QFB12Q2     0        0
 ertan-390 B07RWRT6JQ     0        0
 ertan-391 B0918CQDD7     0        0
 ertan-392 B09Q2YBFXR     0        0
 ertan-393 B01569FXVK     0        0
 ertan-394 B08QFCWF8B     0        0
 ertan-395 B07JFRMZL7     0        0
 ertan-396 B07WRMVJ23     0        0
 ertan-397 B088W5SJ8L     0        0
 ertan-398 B094YP6GL9     0        0
 ertan-399 B0B21C7WZ5     0        0
 ertan-400 B07Z5MRWMP     0        0
 ertan-401 B08B8QWZR1     0        0
 ertan-402 B088WD3KTM     0        0
 ertan-403 B07ZSGJGV6     0        0
